address,price,beds,baths,lot_sqft,city,state,url,source
10 Crescent St #2,1699000,4,3.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/10-Crescent-ST-02465/unit-2/home/198769056,redfin
87 Parker Ave,3300000,6,5.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/87-Parker-Ave-02461/home/198613921,redfin
53 West St,1199000,3,2.5,5663.0,"Newton, MA",MA,https://www.redfin.com/MA/Newton/53-West-St-02458/home/11414986,redfin
34 Channing St #1,698000,3,2.0,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/34-Channing-St-02458/unit-1/home/193791430,redfin
15-17 Jewett Pl #2,1848000,4,3.5,16500.0,"Newton, MA",MA,https://www.redfin.com/MA/Newton/15-17-Jewett-Pl-02458/unit-2/home/195592236,redfin
265-267 River St #267,1275000,3,2.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/265-267-River-St-02465/unit-267/home/198774469,redfin
286 Nevada #286,1875000,4,4.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/286-Nevada-St-02460/unit-286/home/198704310,redfin
26 Cotton Wood Rd,4850000,6,6.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/26-Cottonwood-Rd-02459/home/195440073,redfin
42-44 Judkins St,1545000,6,2.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/42-44-Judkins-St-02460/home/197638240,redfin
265-267 River St #265,1375000,3,3.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/265-267-River-St-02465/unit-265/home/198761208,redfin
36 Troy Ln,2195000,5,4.5,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/36-Troy-Ln-02468/home/187033035,redfin
34 Channing St #2,598000,3,1.0,,"Newton, MA",MA,https://www.redfin.com/MA/Newton/34-Channing-St-02458/unit-2/home/196688205,redfin
68 Vernon St,899900,3,1.5,6970.0,"Newton, MA",MA,https://www.redfin.com/MA/Newton/68-Vernon-St-02458/home/11472282,redfin
